Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
8/8/2021,Montpellier,Marseille,2,3,A,2,0
8/8/2021,Metz,Lille,3,3,D,2,1
8/8/2021,Bordeaux,Clermont,0,2,A,0,0
8/8/2021,Nice,Reims,0,0,D,0,0
8/8/2021,St Etienne,Lorient,1,1,D,0,0
8/8/2021,Strasbourg,Angers,0,2,A,0,0
8/8/2021,Rennes,Lens,1,1,D,1,1
8/8/2021,Troyes,Paris SG,1,2,A,1,2
8/8/2021,Lyon,Brest,1,1,D,0,1
8/8/2021,Monaco,Nantes,1,1,D,1,1
15/08/2021,Marseille,Bordeaux,2,2,D,2,0
15/08/2021,Lens,St Etienne,2,2,D,1,1
15/08/2021,Brest,Rennes,1,1,D,0,0
15/08/2021,Clermont,Troyes,2,0,H,0,0
15/08/2021,Nantes,Metz,2,0,H,1,0
15/08/2021,Reims,Montpellier,3,3,D,2,3
15/08/2021,Angers,Lyon,3,0,H,1,0
15/08/2021,Paris SG,Strasbourg,4,2,H,3,0
15/08/2021,Lille,Nice,0,4,A,0,3
15/08/2021,Lorient,Monaco,1,0,H,1,0
22/08/2021,Rennes,Nantes,1,0,H,0,0
22/08/2021,Bordeaux,Angers,1,1,D,1,1
22/08/2021,Metz,Reims,1,1,D,1,1
22/08/2021,Montpellier,Lorient,1,3,A,0,1
22/08/2021,Strasbourg,Troyes,1,1,D,0,1
22/08/2021,Lyon,Clermont,3,3,D,3,1
22/08/2021,St Etienne,Lille,1,1,D,0,1
22/08/2021,Monaco,Lens,0,2,A,0,0
22/08/2021,Brest,Paris SG,2,4,A,1,2
29/08/2021,Reims,Paris SG,0,2,A,0,1
29/08/2021,Lille,Montpellier,2,1,H,1,1
29/08/2021,Angers,Rennes,2,0,H,0,0
29/08/2021,Clermont,Metz,2,2,D,1,2
29/08/2021,Lens,Lorient,2,2,D,1,2
29/08/2021,Strasbourg,Brest,3,1,H,2,1
29/08/2021,Troyes,Monaco,1,2,A,0,1
29/08/2021,Marseille,St Etienne,3,1,H,1,1
29/08/2021,Nice,Bordeaux,4,0,H,3,0
29/08/2021,Nantes,Lyon,0,1,A,0,1
12/9/2021,Lyon,Strasbourg,3,1,H,1,0
12/9/2021,Nantes,Nice,0,2,A,0,0
12/9/2021,Bordeaux,Lens,2,3,A,0,2
12/9/2021,Brest,Angers,1,1,D,0,0
12/9/2021,Metz,Troyes,0,2,A,0,0
12/9/2021,Rennes,Reims,0,2,A,0,1
12/9/2021,Montpellier,St Etienne,2,0,H,1,0
12/9/2021,Monaco,Marseille,0,2,A,0,1
12/9/2021,Paris SG,Clermont,4,0,H,2,0
12/9/2021,Lorient,Lille,2,1,H,1,1
19/09/2021,Paris SG,Lyon,2,1,H,0,0
19/09/2021,Marseille,Rennes,2,0,H,0,0
19/09/2021,Angers,Nantes,1,4,A,1,3
19/09/2021,Clermont,Brest,1,1,D,0,0
19/09/2021,Reims,Lorient,0,0,D,0,0
19/09/2021,Troyes,Montpellier,1,1,D,1,0
19/09/2021,Nice,Monaco,2,2,D,0,1
19/09/2021,St Etienne,Bordeaux,1,2,A,0,1
19/09/2021,Lens,Lille,1,0,H,0,0
19/09/2021,Strasbourg,Metz,3,0,H,3,0
22/09/2021,Angers,Marseille,0,0,D,0,0
22/09/2021,Lens,Strasbourg,0,1,A,0,0
22/09/2021,Lorient,Nice,1,0,H,1,0
22/09/2021,Lyon,Troyes,3,1,H,0,1
22/09/2021,Metz,Paris SG,1,2,A,1,1
22/09/2021,Lille,Reims,2,1,H,2,0
22/09/2021,Monaco,St Etienne,3,1,H,1,1
22/09/2021,Montpellier,Bordeaux,3,3,D,1,2
22/09/2021,Nantes,Brest,3,1,H,1,0
22/09/2021,Rennes,Clermont,6,0,H,2,0
26/09/2021,Marseille,Lens,2,3,A,2,2
26/09/2021,Clermont,Monaco,1,3,A,1,1
26/09/2021,Brest,Metz,1,2,A,0,1
26/09/2021,Reims,Nantes,3,1,H,0,0
26/09/2021,Troyes,Angers,1,1,D,1,0
26/09/2021,Bordeaux,Rennes,1,1,D,0,0
26/09/2021,Lyon,Lorient,1,1,D,0,1
26/09/2021,Paris SG,Montpellier,2,0,H,1,0
26/09/2021,Strasbourg,Lille,1,2,A,0,1
26/09/2021,St Etienne,Nice,0,3,A,0,1
3/10/2021,St Etienne,Lyon,1,1,D,0,1
3/10/2021,Lille,Marseille,2,0,H,1,0
3/10/2021,Angers,Metz,3,2,H,0,1
